MSC,NR SZTAFETY,team,Kategoria dodatkowa,czas_netto,plec
169,131,BEZ METRA,,03:30:52,M
170,626,POGROMCY MIL,,03:30:53,M
171,327,ARUP,,03:30:56,M
172,272,TRANSEKO,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:31:02,M
173,145,BNP PARIBAS TEAM,BANKÓW,03:31:24,M
174,319,POWERADE RUNNING TEAM IV,,03:31:31,M
175,414,"RZEZNIK U SMOKA, CO BUJA W OBLOKACH",,03:32:03,M
176,349,HP RUN 2,,03:32:05,M
177,321,SPARTANIE DZIECIOM 1,,03:32:25,M
178,159,BLOGACZE II,,03:32:26,M
179,163,PEKAOEKIPA 2,BANKÓW,03:32:31,M
180,136,YOKOGAWA RUNNERS,,03:32:31,M
181,290,EDC RUNNERS MATERIALS,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:32:34,M
182,539,SPAL SZTEJKA,,03:32:35,M
183,171,NARODOWE CENTRUM BADAŃ I ROZWOJU,,03:32:44,M
184,121,PZU SPORT TEAM 3,FIRM UBEZPIECZENIOWYCH,03:32:44,M
185,561,UNIA RUNNERS CREW,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:32:49,M
186,490,DRUNK SAMURAI D,,03:32:56,M
187,153,KLUB BIEGACZA PLL LOT,,03:32:56,M
188,211,CASTORAMA II,,03:33:12,M
189,480,SALES&MORE RUNNINGTEAM,,03:33:24,M
190,491,DRUNK SAMURAI A,,03:33:31,M
191,640,CARGILL 1,,03:33:34,M
192,540,THE SUPERGIRLS - WARSAW INTERNATIONAL TRIATHLON CLUB,,03:34:07,M
193,597,CAG RUNNERS,MIĘDZYNARODOWE MISTRZOSTWA POLSKI SZTAFET FIRMOWYCH*,03:34:09,M
194,642,CARGILL 3,,03:34:13,M
195,186,OBOZYBIEGOWE.PL - PUCHATKI,,03:34:20,M
196,176,LINGARO RUNNING 1,,03:34:23,M
197,465,PWC TRANSFER PRICING I PRZYJACIELE,,03:34:35,M
198,177,SZTACHETA MARZEŃ,,03:34:36,M
199,508,SIEMENS WIND,,03:34:37,M
